#Average black hole accretion rate (BHAR) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHAR)@log(Mpeak)=12 log10(BHAR)_16@log(Mpeak)=12 log10(BHAR)_84@log(Mpeak)=12 log10(BHAR)@log(Mpeak)=13 log10(BHAR)_16@log(Mpeak)=13 log10(BHAR)_84@log(Mpeak)=13 log10(BHAR)@log(Mpeak)=14 log10(BHAR)_16@log(Mpeak)=14 log10(BHAR)_84@log(Mpeak)=14 log10(BHAR)@log(Mpeak)=15 log10(BHAR)_16@log(Mpeak)=15 log10(BHAR)_84@log(Mpeak)=15
7.563357 -11.645883 -12.572067 -11.107787 -9.117667 -9.846528 -8.702399 -6.996528 -7.554216 -6.658828 -5.138218 -5.567211 -4.881303
7.542959 -11.590143 -12.509391 -11.056501 -9.066868 -9.789457 -8.655036 -6.949932 -7.502622 -6.615925 -5.095622 -5.520161 -4.841671
7.522610 -11.534404 -12.446715 -11.005214 -9.016069 -9.732385 -8.607673 -6.903336 -7.451027 -6.573021 -5.053025 -5.473111 -4.802038
7.502310 -11.478665 -12.384039 -10.953928 -8.965270 -9.675314 -8.560310 -6.856740 -7.399433 -6.530118 -5.010429 -5.426061 -4.762406
7.482058 -11.422926 -12.321363 -10.902642 -8.914471 -9.618242 -8.512947 -6.810144 -7.347838 -6.487214 -4.967832 -5.379010 -4.722774
7.461854 -11.369745 -12.261457 -10.853580 -8.866002 -9.563973 -8.467705 -6.765677 -7.298627 -6.446224 -4.927193 -5.334251 -4.684915
7.441698 -11.317122 -12.202154 -10.805004 -8.818040 -9.510314 -8.422924 -6.721673 -7.249934 -6.405652 -4.886981 -5.289991 -4.647443
7.421591 -11.264499 -12.142851 -10.756427 -8.770079 -9.456654 -8.378144 -6.677669 -7.201242 -6.365079 -4.846769 -5.245730 -4.609970
7.401531 -11.211875 -12.083548 -10.707851 -8.722117 -9.402995 -8.333363 -6.633666 -7.152550 -6.324506 -4.806557 -5.201470 -4.572497
7.381519 -11.159252 -12.024245 -10.659274 -8.674156 -9.349336 -8.288583 -6.589662 -7.103858 -6.283934 -4.766344 -5.157210 -4.535025
7.361554 -11.106629 -11.964942 -10.610698 -8.626195 -9.295677 -8.243802 -6.545658 -7.055166 -6.243361 -4.726132 -5.112949 -4.497552
7.341638 -11.054936 -11.906715 -10.562902 -8.579072 -9.242949 -8.199770 -6.502423 -7.007373 -6.203453 -4.686622 -5.069483 -4.460735
7.321768 -11.005166 -11.850711 -10.516719 -8.533681 -9.192146 -8.157284 -6.460775 -6.961438 -6.164917 -4.648564 -5.027657 -4.425273
7.301946 -10.955396 -11.794707 -10.470536 -8.488290 -9.141343 -8.114799 -6.419127 -6.915503 -6.126382 -4.610506 -4.985830 -4.389811
7.282171 -10.905626 -11.738704 -10.424353 -8.442900 -9.090540 -8.072313 -6.377480 -6.869568 -6.087847 -4.572448 -4.944004 -4.354349
7.262444 -10.855856 -11.682700 -10.378171 -8.397509 -9.039737 -8.029827 -6.335832 -6.823633 -6.049311 -4.534390 -4.902178 -4.318887
7.242763 -10.806086 -11.626697 -10.331988 -8.352118 -8.988934 -7.987341 -6.294185 -6.777698 -6.010776 -4.496332 -4.860351 -4.283425
7.223129 -10.756316 -11.570693 -10.285805 -8.306728 -8.938131 -7.944855 -6.252537 -6.731764 -5.972240 -4.458274 -4.818525 -4.247963
7.203542 -10.708914 -11.517149 -10.241659 -8.263509 -8.889784 -7.904360 -6.212906 -6.688205 -5.935391 -4.422053 -4.778742 -4.214018
7.184002 -10.661994 -11.464104 -10.197928 -8.220731 -8.841937 -7.864269 -6.173686 -6.645129 -5.898885 -4.386205 -4.739375 -4.180383
7.164508 -10.615075 -11.411060 -10.154197 -8.177954 -8.794089 -7.824179 -6.134466 -6.602053 -5.862379 -4.350357 -4.700007 -4.146748
7.145060 -10.568155 -11.358015 -10.110465 -8.135176 -8.746242 -7.784088 -6.095245 -6.558978 -5.825873 -4.314509 -4.660640 -4.113112
7.125659 -10.521235 -11.304971 -10.066734 -8.092399 -8.698394 -7.743998 -6.056025 -6.515902 -5.789367 -4.278661 -4.621272 -4.079477
7.106304 -10.474315 -11.251926 -10.023002 -8.049621 -8.650546 -7.703907 -6.016804 -6.472826 -5.752861 -4.242814 -4.581905 -4.045841
7.086996 -10.428283 -11.199788 -9.980142 -8.007654 -8.603584 -7.664562 -5.978316 -6.430590 -5.717020 -4.207630 -4.543302 -4.012814
7.067733 -10.384005 -11.149440 -9.939001 -7.967287 -8.558373 -7.626689 -5.941273 -6.390014 -5.682493 -4.173757 -4.506208 -3.980991
7.048516 -10.339728 -11.099092 -9.897860 -7.926920 -8.513161 -7.588817 -5.904230 -6.349437 -5.647966 -4.139885 -4.469115 -3.949167
7.029345 -10.295450 -11.048744 -9.856719 -7.886553 -8.467950 -7.550945 -5.867187 -6.308861 -5.613440 -4.106013 -4.432022 -3.917344
7.010219 -10.251173 -10.998396 -9.815578 -7.846186 -8.422738 -7.513073 -5.830144 -6.268284 -5.578913 -4.072141 -4.394929 -3.885520
6.991139 -10.206895 -10.948048 -9.774437 -7.805819 -8.377526 -7.475200 -5.793100 -6.227708 -5.544386 -4.038269 -4.357836 -3.853697
6.972105 -10.162618 -10.897700 -9.733297 -7.765452 -8.332315 -7.437328 -5.756057 -6.187131 -5.509859 -4.004396 -4.320743 -3.821873
6.953116 -10.120409 -10.849509 -9.693909 -7.726967 -8.289291 -7.401142 -5.720703 -6.148442 -5.476879 -3.972072 -4.285296 -3.791466
6.934172 -10.078590 -10.801726 -9.654853 -7.688838 -8.246680 -7.365275 -5.685667 -6.110111 -5.444191 -3.940040 -4.250161 -3.761326
6.915273 -10.036772 -10.753943 -9.615798 -7.650708 -8.204070 -7.329408 -5.650631 -6.071779 -5.411503 -3.908008 -4.215026 -3.731187
6.896419 -9.994954 -10.706160 -9.576742 -7.612579 -8.161459 -7.293541 -5.615596 -6.033447 -5.378815 -3.875976 -4.179891 -3.701047
6.877610 -9.953136 -10.658377 -9.537686 -7.574449 -8.118849 -7.257673 -5.580560 -5.995115 -5.346127 -3.843944 -4.144756 -3.670907
6.858846 -9.911318 -10.610594 -9.498630 -7.536320 -8.076238 -7.221806 -5.545525 -5.956784 -5.313439 -3.811913 -4.109621 -3.640767
