#Median black hole mass--galaxy total stellar mass relation from z=0-5 from IllustrisTNG300.
#Ref: Habouzit et al. 2020, https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.1940H/abstract
#z log10(Mstar)[Msun] log10(Mbh_median)[Msun]
5.000000 10.298127 7.091850
5.000000 10.316591 7.131366
5.000000 10.335056 7.170881
5.000000 10.353521 7.210396
5.000000 10.371986 7.239685
5.000000 10.390450 7.261817
5.000000 10.408915 7.283948
5.000000 10.427380 7.306080
5.000000 10.445845 7.328211
5.000000 10.464309 7.350342
5.000000 10.482774 7.372474
5.000000 10.501239 7.394605
5.000000 10.519704 7.416737
5.000000 10.538168 7.438868
5.000000 10.556633 7.461000
5.000000 10.575098 7.483131
5.000000 10.593563 7.505262
5.000000 10.612027 7.523215
5.000000 10.630492 7.532836
5.000000 10.648957 7.542458
5.000000 10.667422 7.552080
5.000000 10.685886 7.561702
5.000000 10.704351 7.571324
5.000000 10.722816 7.580946
5.000000 10.741281 7.590568
5.000000 10.759745 7.600190
5.000000 10.778210 7.609812
5.000000 10.796675 7.619434
5.000000 10.815140 7.629055
5.000000 10.833604 7.639619
5.000000 10.852069 7.652143
5.000000 10.870534 7.664666
5.000000 10.888999 7.677190
5.000000 10.907463 7.689714
5.000000 10.925928 7.702238
5.000000 10.944393 7.714762
5.000000 10.962858 7.727286
5.000000 10.981322 7.739809
5.000000 10.999787 7.752333
5.000000 11.018252 7.764857
5.000000 11.036717 7.777381
5.000000 11.055181 7.789905
5.000000 11.073646 7.802429
5.000000 11.092111 7.814952
5.000000 11.110576 7.827476
5.000000 11.129040 7.840000
