#Median black hole mass (Mbh_median) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(Mbh_median)[Msun]
7.566672 11.650000 6.968358
7.566672 11.700000 7.080316
7.566672 11.750000 7.187599
7.566672 11.800000 7.294882
7.566672 11.850000 7.402164
7.566672 11.900000 7.509447
7.566672 11.950000 7.612038
7.566672 12.000000 7.714628
7.566672 12.050000 7.817218
7.566672 12.100000 7.919809
7.522556 11.000000 5.435757
7.522556 11.050000 5.558907
7.522556 11.100000 5.682057
7.522556 11.150000 5.802001
7.522556 11.200000 5.921945
7.522556 11.250000 6.041890
7.522556 11.300000 6.161834
7.522556 11.350000 6.277970
7.522556 11.400000 6.394105
7.522556 11.450000 6.510240
7.522556 11.500000 6.626376
7.522556 11.550000 6.738193
7.522556 11.600000 6.850010
7.522556 11.650000 6.961827
7.522556 11.700000 7.073644
