#Average star formation rate (SFR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(SFR)[Msun]
7.566672 11.200000 1.568139
7.566672 11.250000 1.647151
7.566672 11.300000 1.726163
7.566672 11.350000 1.805149
7.566672 11.400000 1.884134
7.566672 11.450000 1.963119
7.566672 11.500000 2.042104
7.566672 11.550000 2.121053
7.566672 11.600000 2.200001
7.566672 11.650000 2.278949
7.566672 11.700000 2.357898
7.566672 11.750000 2.436787
7.566672 11.800000 2.515677
7.566672 11.850000 2.594567
7.566672 11.900000 2.673456
7.566672 11.950000 2.752226
7.566672 12.000000 2.830996
7.566672 12.050000 2.909767
7.566672 12.100000 2.988537
7.522556 11.000000 1.247748
7.522556 11.050000 1.326695
7.522556 11.100000 1.405642
7.522556 11.150000 1.484568
7.522556 11.200000 1.563493
7.522556 11.250000 1.642419
7.522556 11.300000 1.721345
7.522556 11.350000 1.800243
7.522556 11.400000 1.879141
7.522556 11.450000 1.958039
7.522556 11.500000 2.036937
7.522556 11.550000 2.115797
7.522556 11.600000 2.194657
7.522556 11.650000 2.273517
7.522556 11.700000 2.352377
7.522556 11.750000 2.431177
7.522556 11.800000 2.509977
7.522556 11.850000 2.588776
7.522556 11.900000 2.667576
7.522556 11.950000 2.746251
7.522556 12.000000 2.824925
7.522556 12.050000 2.903600
7.522556 12.100000 2.982275
7.478440 11.000000 1.243448
7.478440 11.050000 1.322309
7.478440 11.100000 1.401170
7.478440 11.150000 1.480009
7.478440 11.200000 1.558848
7.478440 11.250000 1.637687
