#Average black hole merger rate (BHMR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHMR)[Msun]
7.974142 11.350000 -4.233193
7.974142 11.400000 -4.101265
7.974142 11.450000 -4.000214
7.974142 11.500000 -3.918294
7.974142 11.550000 -3.737057
7.974142 11.600000 -3.609568
7.974142 11.650000 -3.511135
7.974142 11.700000 -3.430941
7.974142 11.750000 -3.258758
7.974142 11.800000 -3.135787
7.974142 11.850000 -3.040062
7.974142 11.900000 -2.961672
7.974142 11.950000 -2.798469
7.927927 11.000000 -5.133596
7.927927 11.050000 -5.028836
7.927927 11.100000 -4.944499
7.927927 11.150000 -4.746928
7.927927 11.200000 -4.611635
7.927927 11.250000 -4.508629
7.927927 11.300000 -4.425431
7.927927 11.350000 -4.235592
7.927927 11.400000 -4.103939
7.927927 11.450000 -4.003050
7.927927 11.500000 -3.921236
7.927927 11.550000 -3.740532
7.927927 11.600000 -3.613306
7.927927 11.650000 -3.515029
7.927927 11.700000 -3.434939
7.927927 11.750000 -3.263241
7.927927 11.800000 -3.140516
7.927927 11.850000 -3.044940
7.927927 11.900000 -2.966650
7.927927 11.950000 -2.803879
7.881713 11.000000 -5.133993
7.881713 11.050000 -5.029395
7.881713 11.100000 -4.945163
7.881713 11.150000 -4.748201
7.881713 11.200000 -4.613192
7.881713 11.250000 -4.510350
7.881713 11.300000 -4.427258
7.881713 11.350000 -4.238004
7.881713 11.400000 -4.106630
7.881713 11.450000 -4.005904
7.881713 11.500000 -3.924198
7.881713 11.550000 -3.744036
7.881713 11.600000 -3.617076
7.881713 11.650000 -3.518958
7.881713 11.700000 -3.438973
7.881713 11.750000 -3.267771
7.881713 11.800000 -3.145297
7.881713 11.850000 -3.049873
7.881713 11.900000 -2.971685
7.881713 11.950000 -2.809357
7.881713 12.000000 -2.691468
7.836209 11.000000 -5.136129
7.836209 11.050000 -5.031642
7.836209 11.100000 -4.947481
7.836209 11.150000 -4.750896
7.836209 11.200000 -4.616062
7.836209 11.250000 -4.513321
7.836209 11.300000 -4.430295
7.836209 11.350000 -4.241368
7.836209 11.400000 -4.110150
7.836209 11.450000 -4.009516
7.836209 11.500000 -3.927870
7.836209 11.550000 -3.747986
7.836209 11.600000 -3.621163
7.836209 11.650000 -3.523126
7.836209 11.700000 -3.443195
7.836209 11.750000 -3.272230
7.836209 11.800000 -3.149878
7.836209 11.850000 -3.054527
7.836209 11.900000 -2.976388
7.836209 11.950000 -2.814271
7.836209 12.000000 -2.696492
7.790705 11.000000 -5.138276
7.790705 11.050000 -5.033900
7.790705 11.100000 -4.949812
7.790705 11.150000 -4.753607
7.790705 11.200000 -4.618951
7.790705 11.250000 -4.516312
7.790705 11.300000 -4.433354
7.790705 11.350000 -4.244758
7.790705 11.400000 -4.113700
7.790705 11.450000 -4.013159
7.790705 11.500000 -3.931574
7.790705 11.550000 -3.751971
7.790705 11.600000 -3.625288
7.790705 11.650000 -3.527334
7.790705 11.700000 -3.447458
7.790705 11.750000 -3.276736
7.790705 11.800000 -3.154507
7.790705 11.850000 -3.059231
7.790705 11.900000 -2.981142
7.790705 11.950000 -2.819241
7.790705 12.000000 -2.701575
7.745201 11.000000 -5.140434
7.745201 11.050000 -5.036170
7.745201 11.100000 -4.952155
7.745201 11.150000 -4.756335
7.745201 11.200000 -4.621859
7.745201 11.250000 -4.519325
7.745201 11.300000 -4.436434
7.745201 11.350000 -4.248175
7.745201 11.400000 -4.117278
7.745201 11.450000 -4.016832
7.745201 11.500000 -3.935309
7.745201 11.550000 -3.755994
7.745201 11.600000 -3.629452
7.745201 11.650000 -3.531583
7.745201 11.700000 -3.451764
7.745201 11.750000 -3.281289
7.745201 11.800000 -3.159186
7.745201 11.850000 -3.063987
7.745201 11.900000 -2.985950
7.745201 11.950000 -2.824269
7.745201 12.000000 -2.706719
7.745201 12.050000 -2.614303
7.700397 11.000000 -5.144415
7.700397 11.050000 -5.040252
7.700397 11.100000 -4.956301
7.700397 11.150000 -4.760817
7.700397 11.200000 -4.626497
7.700397 11.250000 -4.524055
7.700397 11.300000 -4.441223
7.700397 11.350000 -4.253253
7.700397 11.400000 -4.122494
7.700397 11.450000 -4.022129
7.700397 11.500000 -3.940660
7.700397 11.550000 -3.761586
7.700397 11.600000 -3.635164
7.700397 11.650000 -3.537366
7.700397 11.700000 -3.457594
7.700397 11.750000 -3.287327
7.700397 11.800000 -3.165330
7.700397 11.850000 -3.070194
7.700397 11.900000 -2.992200
7.700397 11.950000 -2.830705
7.700397 12.000000 -2.713253
7.700397 12.050000 -2.620897
7.655592 11.000000 -5.148433
7.655592 11.050000 -5.044371
7.655592 11.100000 -4.960487
7.655592 11.150000 -4.765346
7.655592 11.200000 -4.631186
7.655592 11.250000 -4.528836
7.655592 11.300000 -4.446066
7.655592 11.350000 -4.258390
7.655592 11.400000 -4.127773
7.655592 11.450000 -4.027491
7.655592 11.500000 -3.946077
7.655592 11.550000 -3.767251
7.655592 11.600000 -3.640952
7.655592 11.650000 -3.543227
7.655592 11.700000 -3.463504
7.655592 11.750000 -3.293450
7.655592 11.800000 -3.171561
7.655592 11.850000 -3.076492
7.655592 11.900000 -2.998542
7.655592 11.950000 -2.837238
7.655592 12.000000 -2.719886
7.655592 12.050000 -2.627593
7.610788 11.000000 -5.152488
7.610788 11.050000 -5.048531
7.610788 11.100000 -4.964714
7.610788 11.150000 -4.769922
7.610788 11.200000 -4.635926
7.610788 11.250000 -4.533671
7.610788 11.300000 -4.450963
